City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,27,3,6,0.3,3,79,52,7
阿克苏地区,184,63,315,0.45,11,69,50,6
阿拉善盟,46,7,17,0.33,6,85,91,7
阿勒泰地区,34,7,0,0.35,3,69,66,2
阿里地区,41,13,4,0.2,9,108,80,4
安康,28,14,27,0.77,15,53,30,6
安庆,91,67,92,0.85,19,162,102,13
鞍山,45,29,44,1.03,29,27,18,7
安顺,34,11,16,0.4,5,80,66,4
安阳,33,14,32,1.4,39,27,34,9
白城,30,16,29,0.5,11,67,59,6
百色,57,33,62,1.1,11,131,73,14
白山,98,73,99,0.85,19,38,49,4
白银,39,5,11,0.5,9,78,77,4
保定,19,13,18,0.3,14,56,34,6
宝鸡,23,6,12,0.54,19,53,44,3
保山,36,9,35,0.9,6,62,47,6
包头,29,5,11,0.57,13,54,56,8
巴彦淖尔,28,8,17,0.4,10,56,55,3
巴中,26,14,25,0.65,18,26,17,3
北海,58,30,63,0.95,15,103,103,9
北京,15,4,6,0.32,18,40,28,2
蚌埠,80,53,79,0.78,24,183,120,17
本溪,31,19,30,0.9,25,23,16,7
毕节,39,14,28,0.45,6,109,77,8
滨州,81,59,67,2.77,32,20,27,5
博州,30,18,29,0.6,13,57,42,15
亳州,86,31,61,0.7,10,178,141,11
沧州,33,23,29,0.33,24,58,30,9
长春,38,14,37,0.86,31,47,41,10
常德,94,70,134,1.2,13,72,52,14
昌都,38,13,33,0.7,3,104,74,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,34,12,19,0.57,11,90,66,5
长沙,75,54,96,0.86,22,127,68,8
常熟,41,13,38,0.6,15,88,81,14
长治,33,22,32,1.86,35,19,17,5
常州,38,21,37,0.77,30,76,63,12
朝阳,22,13,12,0.65,18,48,43,8
潮州,33,18,32,0.63,6,74,62,9
承德,23,15,22,0.2,18,45,29,4
成都,27,18,26,0.76,30,23,20,9
郴州,92,68,110,1.32,17,121,79,8
赤峰,22,14,8,0.3,16,46,42,7
池州,99,74,116,0.87,35,103,88,18
重庆,61,39,70,0.97,32,167,83,10
崇左,42,28,37,0.8,5,121,82,2
楚雄州,25,9,14,0.6,5,56,49,9
滁州,84,40,69,0.97,25,186,119,18
大连,30,9,14,1.22,34,21,59,6
大理州,24,11,0,0.6,12,60,46,5
丹东,29,16,28,0.67,24,51,39,6
大庆,28,12,14,0.38,13,63,55,7
大同,23,3,17,0.8,12,42,44,8
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,25,4,14,0.85,12,62,49,23
达州,36,15,29,0.74,26,83,71,7
德宏州,26,12,22,0.3,3,67,51,14
德阳,14,3,13,0.65,9,42,20,5
德州,18,9,15,1.7,22,32,31,6
定西,38,20,37,0.45,17,65,64,6
迪庆州,36,0,35,0.35,7,73,56,4
东莞,47,23,42,0.64,19,89,93,7
东营,82,60,94,1.9,36,38,31,13
鄂尔多斯,29,8,12,0.72,17,67,56,5
恩施州,38,26,35,0.9,7,75,49,4
鄂州,67,48,70,1.17,12,171,100,13
防城港,68,44,62,0.9,15,125,120,10
佛山,56,25,57,0.55,20,117,106,7
抚顺,49,34,31,0.58,23,34,25,9
阜新,23,8,14,0.28,16,47,45,5
阜阳,91,51,87,0.73,15,191,148,10
富阳,35,15,20,0.6,10,69,68,9
福州,23,14,22,0.6,12,38,42,5
抚州,46,32,35,0.7,6,98,82,9
甘南州,28,8,10,0.4,8,62,54,6
赣州,47,27,46,0.96,14,81,87,8
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,39,14,25,0.5,8,90,76,17
广安,45,22,44,0.75,9,121,66,7
广元,24,6,10,0.65,11,53,46,10
广州,44,20,37,0.68,25,87,86,8
贵港,59,29,60,0.75,18,119,109,9
桂林,63,40,61,0.63,11,126,114,10
